id,name,status,description,originalPrice,price,shippingPayerName,itemCategoryNameLevel0,itemCategoryNameLevel1,itemCategoryNameLevel2,photoLarge1,photoThumbnail1,photoLarge2,photoThumbnail2,brandName,itemSizeName,itemConditionName,categoryTitle,categoryId
m95845861862,Crayons GEM JACKPOT,trading,Non toxic crayons  12 fun shapes  Check picture N•2,1500,1200,Buyer,Office,School Supplies,Other School Supplies,https://u-mercari-images.mercdn.net/photos/m95845861862_1.jpg?1631421316,https://u-mercari-images.mercdn.net/photos/m95845861862_1.jpg?1631421316&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m95845861862_2.jpg?1631421316000,https://u-mercari-images.mercdn.net/photos/m95845861862_2.jpg?1631421316000&w=200&h=200&fitcrop&sharpen,,,New,Other School Supplies,2961
m89177641497,Bundle of Avia size medium yoga leggings,trading,Bundle includes 3 pairs of Avia yoga pants size Medium. No holes/stains/rips. From a smoke and pet free home. Can be sold separately.,2100,1500,Buyer,Women,Athletic apparel,Athletic Leggings,https://u-mercari-images.mercdn.net/photos/m89177641497_1.jpg?1656560087,https://u-mercari-images.mercdn.net/photos/m89177641497_1.jpg?1656560087&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m89177641497_2.jpg?1656560087000,https://u-mercari-images.mercdn.net/photos/m89177641497_2.jpg?1656560087000&w=200&h=200&fitcrop&sharpen,Avia,M (8-10),Good,Athletic Leggings,1968
m33464499437,HTF MINT McFarlane 12in Emmitt Smith Arizona Cardinals chase/variant,trading,HTF MINT NEVER OPENED OR DISPLAYED McFarlane Series 1 12 inch Emmitt Smith Arizona Cardinals chase/variant. Will be bubble wrapped & shipped with care,12000,9000,Seller,Toys & Collectibles,Action Figures & Accessories,Action Figures,https://u-mercari-images.mercdn.net/photos/m33464499437_1.jpg?1668960799,https://u-mercari-images.mercdn.net/photos/m33464499437_1.jpg?1668960799&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m33464499437_2.jpg?1668960799000,https://u-mercari-images.mercdn.net/photos/m33464499437_2.jpg?1668960799000&w=200&h=200&fitcrop&sharpen,McFarlane Sports,,New,Action Figures,1613
m53468606853,University of Michigan 1991 Big Ten Champion RARE vintage Rose Bowl Crew Neck,trading,"rare vintage university of michigan rose bowl sweatshirt, big ten champion print before the game. Univ of Michigan lost this game to Washington State, year 1991.  fruit of the loom white single stitch crew neck sweatshirt, graphic wear 1991 print.  some light staining throughout, most has been removed.  no size tag.  approx 22in pit to pit 25in shoulder to hem",6000,3800,Buyer,Vintage & collectibles,Clothing,Sweater,https://u-mercari-images.mercdn.net/photos/m53468606853_1.jpg?1668554154,https://u-mercari-images.mercdn.net/photos/m53468606853_1.jpg?1668554154&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m53468606853_2.jpg?1668554154000,https://u-mercari-images.mercdn.net/photos/m53468606853_2.jpg?1668554154000&w=200&h=200&fitcrop&sharpen,Fruit of the Loom,,Good,Vintage Sweaters,889
m19306761243,Jordan 1 Lost and Found Sz 11.5,trading,Brand new.  100% authentic  Size 11.5  Style DZ5485-612  Release Date 11/19/2022,20000,20000,Buyer,Men,Shoes,Athletic,https://u-mercari-images.mercdn.net/photos/m19306761243_1.jpg?1668955578,https://u-mercari-images.mercdn.net/photos/m19306761243_1.jpg?1668955578&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m19306761243_2.jpg?1668955578000,https://u-mercari-images.mercdn.net/photos/m19306761243_2.jpg?1668955578000&w=200&h=200&fitcrop&sharpen,Air Jordan,11.5 (44.5),New,Athletic Shoes for Men,397
m83731152126,Carhartt Beanie,trading,"True red Carhartt beanie, barely worn! Perfect for fall and winter!",3500,2100,Buyer,Women,Women's accessories,Hats,https://u-mercari-images.mercdn.net/photos/m83731152126_1.jpg?1664247684,https://u-mercari-images.mercdn.net/photos/m83731152126_1.jpg?1664247684&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m83731152126_2.jpg?1664247684000,https://u-mercari-images.mercdn.net/photos/m83731152126_2.jpg?1664247684000&w=200&h=200&fitcrop&sharpen,Carhartt,,Like new,Hats for Women,265
m40483418662,MAC Girl About Town Pink Amplified Creme Lipstick,trading,MAC Cosmetics  # 112 Girl About Town Amplified Creme (cream) Lipstick  3 g / 0.1 Oz  New in Box & Authentic  Made in Canada   ,1700,1700,Buyer,Beauty,Makeup,Lips,https://u-mercari-images.mercdn.net/photos/m40483418662_1.jpg?1666770073,https://u-mercari-images.mercdn.net/photos/m40483418662_1.jpg?1666770073&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m40483418662_2.jpg?1666770073000,https://u-mercari-images.mercdn.net/photos/m40483418662_2.jpg?1666770073000&w=200&h=200&fitcrop&sharpen,MAC Cosmetics,,New,Lip Makeup,847
m23015855691,Cuddle and Kind Violet the Fawn 20 in,trading,Cuddle and Kind Violet the Fawn Regular size 20 in  Excellent condition. Has not been played with. Kept on shelf in bedroom.  Smoke and pet free home  Will ship in a box for better shipping protection.,5500,4900,Buyer,Toys & Collectibles,Stuffed Animals & Plush,Stuffed Animals,https://u-mercari-images.mercdn.net/photos/m23015855691_1.jpg?1658935616,https://u-mercari-images.mercdn.net/photos/m23015855691_1.jpg?1658935616&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m23015855691_2.jpg?1658935616000,https://u-mercari-images.mercdn.net/photos/m23015855691_2.jpg?1658935616000&w=200&h=200&fitcrop&sharpen,Cuddle + Kind,,Good,Stuffed Animals,1713
m94358537728,Spider-Man 3 Hasbro Figures,trading,Includes SP3 Sandman with accessories. Arm and accessories are stained with red SP3 Symbiote Spideraman SP3 Harry Osborn New Goblin  And a 3 piece background of sandman,2700,1700,Buyer,Toys & Collectibles,Action Figures & Accessories,Action Figures,https://u-mercari-images.mercdn.net/photos/m94358537728_1.jpg?1665806629,https://u-mercari-images.mercdn.net/photos/m94358537728_1.jpg?1665806629&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m94358537728_2.jpg?1665806629000,https://u-mercari-images.mercdn.net/photos/m94358537728_2.jpg?1665806629000&w=200&h=200&fitcrop&sharpen,Hasbro,,Good,Action Figures,1613
m89114806837,Hallmark Lucus Films Yoda christmas Ornament,trading,Hallmark Lucus Films Yoda Ornament  1997  Will ship in plastic mailer,1800,1300,Buyer,Home,Seasonal decor,Christmas,https://u-mercari-images.mercdn.net/photos/m89114806837_1.jpg?1656595734,https://u-mercari-images.mercdn.net/photos/m89114806837_1.jpg?1656595734&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m89114806837_2.jpg?1656595734000,https://u-mercari-images.mercdn.net/photos/m89114806837_2.jpg?1656595734000&w=200&h=200&fitcrop&sharpen,Hallmark,,Like new,Christmas Seasonal Decor,646
